,Time (LST),12 hr Snow (in.),12 hr LPE (in.),start_time_dt,end_time_dt,start_time_UTC,mid_time_UTC,end_time_UTC,12_hr_snow_cm,12_hr_LPE_mm,Classification,Comments,Objective_Classification
196,2024-01-07 04,7,0.25,2024-01-07 04:00:00-07:00,2024-01-07 16:00:00-07:00,2024-01-07 11:00:00+00:00,2024-01-07 17:00:00+00:00,2024-01-07 23:00:00+00:00,17.78,6.35,5,see comment one line above,
201,2024-01-09 16,11,0.85,2024-01-09 16:00:00-07:00,2024-01-10 04:00:00-07:00,2024-01-09 23:00:00+00:00,2024-01-10 05:00:00+00:00,2024-01-10 11:00:00+00:00,27.94,21.59,5,,
203,2024-01-10 16,11,0.66,2024-01-10 16:00:00-07:00,2024-01-11 04:00:00-07:00,2024-01-10 23:00:00+00:00,2024-01-11 05:00:00+00:00,2024-01-11 11:00:00+00:00,27.94,16.764,6,,
207,2024-01-12 16,7,0.74,2024-01-12 16:00:00-07:00,2024-01-13 04:00:00-07:00,2024-01-12 23:00:00+00:00,2024-01-13 05:00:00+00:00,2024-01-13 11:00:00+00:00,17.78,18.796,3,,
209,2024-01-13 16,18,1.86,2024-01-13 16:00:00-07:00,2024-01-14 04:00:00-07:00,2024-01-13 23:00:00+00:00,2024-01-14 05:00:00+00:00,2024-01-14 11:00:00+00:00,45.72,47.244,3,,2
210,2024-01-14 04,9,0.66,2024-01-14 04:00:00-07:00,2024-01-14 16:00:00-07:00,2024-01-14 11:00:00+00:00,2024-01-14 17:00:00+00:00,2024-01-14 23:00:00+00:00,22.86,16.764,5,,
211,2024-01-14 16,8,0.62,2024-01-14 16:00:00-07:00,2024-01-15 04:00:00-07:00,2024-01-14 23:00:00+00:00,2024-01-15 05:00:00+00:00,2024-01-15 11:00:00+00:00,20.32,15.748,4,,4
216,2024-01-17 04,10,1.41,2024-01-17 04:00:00-07:00,2024-01-17 16:00:00-07:00,2024-01-17 11:00:00+00:00,2024-01-17 17:00:00+00:00,2024-01-17 23:00:00+00:00,25.4,35.81399999999999,3,,3
249,2024-02-02 16,7,0.63,2024-02-02 16:00:00-07:00,2024-02-03 04:00:00-07:00,2024-02-02 23:00:00+00:00,2024-02-03 05:00:00+00:00,2024-02-03 11:00:00+00:00,17.78,16.002,5,,
251,2024-02-03 16,9,0.5,2024-02-03 16:00:00-07:00,2024-02-04 04:00:00-07:00,2024-02-03 23:00:00+00:00,2024-02-04 05:00:00+00:00,2024-02-04 11:00:00+00:00,22.86,12.7,0,"Tricky one. NW flow in low IVT envornment, but doesnt really seem post frontal. Flow is diffluent just upstream of N. Utah",
257,2024-02-06 16,7,1,2024-02-06 16:00:00-07:00,2024-02-07 04:00:00-07:00,2024-02-06 23:00:00+00:00,2024-02-07 05:00:00+00:00,2024-02-07 11:00:00+00:00,17.78,25.4,1,,1
258,2024-02-07 04,13,0.86,2024-02-07 04:00:00-07:00,2024-02-07 16:00:00-07:00,2024-02-07 11:00:00+00:00,2024-02-07 17:00:00+00:00,2024-02-07 23:00:00+00:00,33.02,21.843999999999998,6,,
262,2024-02-09 04,6,0.33,2024-02-09 04:00:00-07:00,2024-02-09 16:00:00-07:00,2024-02-09 11:00:00+00:00,2024-02-09 17:00:00+00:00,2024-02-09 23:00:00+00:00,15.24,8.382,0,Not really sure. Seems to be confluent flow N of utah. Low IVT environment,
274,2024-02-15 04,10.5,0.9,2024-02-15 04:00:00-07:00,2024-02-15 16:00:00-07:00,2024-02-15 11:00:00+00:00,2024-02-15 17:00:00+00:00,2024-02-15 23:00:00+00:00,26.67,22.86,6,,
277,2024-02-16 16,8,0.56,2024-02-16 16:00:00-07:00,2024-02-17 04:00:00-07:00,2024-02-16 23:00:00+00:00,2024-02-17 05:00:00+00:00,2024-02-17 11:00:00+00:00,20.32,14.224,5,,
280,2024-02-18 04,7,0.64,2024-02-18 04:00:00-07:00,2024-02-18 16:00:00-07:00,2024-02-18 11:00:00+00:00,2024-02-18 17:00:00+00:00,2024-02-18 23:00:00+00:00,17.78,16.256,2,,
283,2024-02-19 16,8,1.36,2024-02-19 16:00:00-07:00,2024-02-20 04:00:00-07:00,2024-02-19 23:00:00+00:00,2024-02-20 05:00:00+00:00,2024-02-20 11:00:00+00:00,20.32,34.544000000000004,2,,2
286,2024-02-21 04,7,0.95,2024-02-21 04:00:00-07:00,2024-02-21 16:00:00-07:00,2024-02-21 11:00:00+00:00,2024-02-21 17:00:00+00:00,2024-02-21 23:00:00+00:00,17.78,24.13,6,,
297,2024-02-26 16,7,0.51,2024-02-26 16:00:00-07:00,2024-02-27 04:00:00-07:00,2024-02-26 23:00:00+00:00,2024-02-27 05:00:00+00:00,2024-02-27 11:00:00+00:00,17.78,12.953999999999999,2,,3
307,2024-03-02 16,9,0.65,2024-03-02 16:00:00-07:00,2024-03-03 04:00:00-07:00,2024-03-02 23:00:00+00:00,2024-03-03 05:00:00+00:00,2024-03-03 11:00:00+00:00,22.86,16.509999999999998,5,,
326,2024-03-12 04,6.5,0.59,2024-03-12 04:00:00-06:00,2024-03-12 16:00:00-06:00,2024-03-12 10:00:00+00:00,2024-03-12 16:00:00+00:00,2024-03-12 22:00:00+00:00,16.51,14.985999999999999,2,,
327,2024-03-12 16,9.5,1.03,2024-03-12 16:00:00-06:00,2024-03-13 04:00:00-06:00,2024-03-12 22:00:00+00:00,2024-03-13 04:00:00+00:00,2024-03-13 10:00:00+00:00,24.13,26.162,5,,
349,2024-03-23 16,10,1,2024-03-23 16:00:00-06:00,2024-03-24 04:00:00-06:00,2024-03-23 22:00:00+00:00,2024-03-24 04:00:00+00:00,2024-03-24 10:00:00+00:00,25.4,25.4,6,,
350,2024-03-24 04,12,0.95,2024-03-24 04:00:00-06:00,2024-03-24 16:00:00-06:00,2024-03-24 10:00:00+00:00,2024-03-24 16:00:00+00:00,2024-03-24 22:00:00+00:00,30.48,24.13,5,,
358,2024-03-28 04,7,0.54,2024-03-28 04:00:00-06:00,2024-03-28 16:00:00-06:00,2024-03-28 10:00:00+00:00,2024-03-28 16:00:00+00:00,2024-03-28 22:00:00+00:00,17.78,13.716,2,,2
363,2024-03-30 16,6,0.65,2024-03-30 16:00:00-06:00,2024-03-31 04:00:00-06:00,2024-03-30 22:00:00+00:00,2024-03-31 04:00:00+00:00,2024-03-31 10:00:00+00:00,15.24,16.509999999999998,1,,
364,2024-03-31 04,6,0.48,2024-03-31 04:00:00-06:00,2024-03-31 16:00:00-06:00,2024-03-31 10:00:00+00:00,2024-03-31 16:00:00+00:00,2024-03-31 22:00:00+00:00,15.24,12.191999999999998,1,Maybe CL or a FROPA? Also might not meet IVT threshold. Going with SIVT,
376,2024-04-06 04,10,0.66,2024-04-06 04:00:00-06:00,2024-04-06 16:00:00-06:00,2024-04-06 10:00:00+00:00,2024-04-06 16:00:00+00:00,2024-04-06 22:00:00+00:00,25.4,16.764,5,,
377,2024-04-06 16,8,0.55,2024-04-06 16:00:00-06:00,2024-04-07 04:00:00-06:00,2024-04-06 22:00:00+00:00,2024-04-07 04:00:00+00:00,2024-04-07 10:00:00+00:00,20.32,13.97,5,,
395,2024-04-15 16,7.5,1.38,2024-04-15 16:00:00-06:00,2024-04-16 04:00:00-06:00,2024-04-15 22:00:00+00:00,2024-04-16 04:00:00+00:00,2024-04-16 10:00:00+00:00,19.05,35.05199999999999,4,,4
